creator_id,person_id,movie_id
1,2,1
2,16,1
3,16,2
4,16,3
5,16,4
6,29,5
7,29,6
8,29,7
9,29,8
10,34,9
11,34,10
12,34,11
13,34,12
14,34,13
15,16,14
16,16,15
17,16,16
18,16,17
19,16,18
20,29,19
21,29,20
22,29,21
23,29,22
24,29,23
25,29,24
26,34,25
27,34,26
28,34,27
29,34,28
30,34,29
31,34,30
32,34,31
33,34,32
34,34,33
35,34,34
36,34,35
37,34,36
38,34,37
39,34,38
40,34,39
41,34,40
42,34,41
43,34,42
44,34,43
45,34,44
46,34,45
47,34,46
48,34,47
49,34,48
50,34,49
51,34,50
52,34,51